id,artist,name,genre,secondary_genres,tier
167,Zac Brown Band,Knee Deep,Country,Country,1
168,Luke Bryan,Country Girl,Country,"Country, Music, Contemporary Country",1
169,New Boyz,Backseat,Hip Hop,Hip-Hop/Rap,1
170,Drake,Headlines,Hip Hop,"Hip-Hop/Rap, Music",1
171,Jason Derulo,Don't Wanna Go Home,Pop,"Pop, Music, Hip-Hop/Rap, Rap, Rock, R&B/Soul, Contemporary R&B",1
172,Chris Brown,She Ain't You,R & B,R&B/Soul,1
173,Rodney Atkins,Take a Back Road,Country,"Country, Music, Honky Tonk, Contemporary Country",1
174,Mike Posner,Please Don't Go,Pop,"Pop, Music, Rock, Dance, Hip-Hop/Rap, Alternative Rap, Rap",1
175,Miguel,Sure Thing,R & B,"R&B/Soul, Music, Neo-Soul, Soul, Dance, Rock, Contemporary R&B",1
176,Jessie J,Price Tag,Pop,"Pop, Music",1
177,Blake Shelton,God Gave Me You,Country,Country,1
178,Lil Wayne,She Will,Hip Hop,Hip-Hop/Rap,1
179,Kenny Chesney,You and Tequila,Country,Country,1
180,Zac Brown Band,Colder Weather,Country,"Country, Music",1
181,Big Sean,My Last,Hip Hop,"Hip-Hop/Rap, Musik, Rap",1
182,Ke$ha,Tik Tok,Pop,"Pop, Music, Electronic, Hip-Hop/Rap, Rock, Dance, Rap, R&B/Soul",1
183,Lady Antebellum,Need You Now,Country,"Country, Music, Contemporary Country, Honky Tonk, Rock",1
184,B.o.B,Airplanes,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock",1
185,Lady Gaga,Bad Romance,Pop,Pop,1
186,Taio Cruz,Break Your Heart,Pop,"Pop, Music, R&B/Soul, Rock, Dance, Contemporary R&B",1
187,B.o.B,Nothin' on You,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock",1
188,Enrique Iglesias,I Like It,Pop,"Pop Latino, Music, Latino, Pop",1
189,Young Money,BedRock,Hip Hop,"Hip-Hop/Rap, Music",1
190,Rihanna,Rude Boy,Pop,"Pop, Music, R&B/Soul, Hip-Hop/Rap, Rap, Dance, Contemporary R&B, Rock",1
191,Lady Gaga,Telephone,Pop,Pop,1
192,The Black Eyed Peas,Imma Be,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance",1
193,Jay Z,Empire State of Mind,Hip Hop,Hip-Hop/Rap,1
194,Eminem,Not Afraid,Hip Hop,"Hip-Hop/Rap, Music, Rock, Hardcore Rap, Rap",1
195,The Black Eyed Peas,I Gotta Feeling,Pop,Pop,1
196,Trey Songz,Say Aah,R & B,"R&B/Soul, Music, Contemporary R&B",1
197,Drake,Find Your Love,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rap, Rock, Hardcore Rap",1
198,Lady Gaga,Alejandro,Dance,"Dance, Music, Rock, Pop, R&B/Soul",1
199,Jason Derulo,Ridin' Solo,Pop,"Pop, Music, Hip-Hop/Rap, Rap, R&B/Soul, Rock, Contemporary R&B",1
200,Ludacris,How Low,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Hardcore Rap",1
201,Timbaland,Carry Out,Pop,"Pop, Music, Hip-Hop/Rap, Rap, Dance, Rock, Adult Alternative, R&B/Soul, Contemporary R&B",1
202,Michael Buble,Haven't Met You Yet,Pop,Pop,1
203,Adam Lambert,Whataya Want From Me,Pop,"Pop, Music",1
204,Taylor Swift,Mine,Country,"Country, Music, Honky Tonk, Rock",1
205,Kris Allen,Live Like We're Dying,Pop,"Pop, Music",1
206,Rihanna,Hard,Pop,"Pop, Music, R&B/Soul, Hip-Hop/Rap, Rap, Dance, Contemporary R&B, Rock",1
207,Jay Z and Mr Hudson,Young Forever,Hip Hop,Hip-Hop/Rap,1
208,Ke$ha,Blah Blah Blah,Pop,Pop,1
209,Jay Sean,Do You Remember,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Rock, Electronic, Dance",1
210,OneRepublic,All the Right Moves,Pop,"Pop, Music",1
211,Orianthi,According to You,Pop,"Pop, Music, Rock, Pop/Rock",1
212,Ludacris,My Chick Bad,Hip Hop,Hip-Hop/Rap,1
213,The Black Eyed Peas,Meet Me Halfway,Pop,Pop,1
214,Ke$ha,Take It Off,Pop,Pop,1
215,Drake,Over,Hip Hop,"Hip-Hop/Rap, Music",1
216,Maroon 5,Misery,Pop,"Pop, Music, Rock, Adult Alternative, Pop/Rock",1
217,B.o.B,Magic,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock",1
218,Lady Gaga,Paparazzi,Pop,"Pop, Music, Rock, Dance, R&B/Soul",1
219,New Boyz,Tie Me Down,Hip Hop,Hip-Hop/Rap,1
220,Nicki Minaj,Your Love,R & B,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, R&B/Soul, Contemporary R&B",1
221,Miley Cyrus,Party in the U.S.A,Pop,"Pop, Music, Teen Pop",1
222,Chris Brown,Deuces,R & B,"R&B/Soul, Music",1
223,Britney Spears,3,Pop,"Pop, Music",1
224,The Black Eyed Peas,Rock That Body,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance",1
225,OneRepublic,Secrets,Pop,"Pop, Music",1
226,Selena Gomez & the Scene,Naturally,Pop,"Pop, Music, Rock, Teen Pop",1
227,Kevin Rudolf,I Made It,Pop,"Pop, Music, Hip-Hop/Rap, Rock",1
228,Sugarland,Stuck Like Glue,Country,Country,1
229,Usher,Hey Daddy (Daddy's Home),R & B,"R&B/Soul, Music, Dance, Contemporary R&B, Rock",1
230,Usher,There Goes My Baby,R & B,"R&B/Soul, Music, Contemporary R&B",1
231,Taylor Swift,Today Was a Fairytale,Country,"Country, Music, Honky Tonk",1
232,Timbaland,Say Something,Pop,Pop,1
233,Carrie Underwood,Undo It,Country,"Country, Music, Pop, Adult Contemporary, Contemporary Country, Rock",1
234,Sean Kingston,Eenie Meenie,Pop,"Pop, Music, Rock",1
235,Lil Wayne,Right Above It,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Hardcore Rap, Rap",1
236,Paramore,The Only Exception,Pop,"Alternative, Music",1
237,Lady Antebellum,American Honey,Country,Country,1
238,Sara Bareilles,King of Anything,Pop,"Pop, Music, Singer/Songwriter, Contemporary Singer/Songwriter, Alternative Folk, Rock, Adult Alternative",1
239,Daughtry,Life After You,Rock,Rock,1
240,Uncle Kracker,Smile,Pop,"Pop, Music, Pop/Rock, Rock, American Trad Rock, Metal",1
241,Jerrod Niemann,"Lover, Lover",Country,"Country, Music, Rock, Contemporary Country",1
242,The Black Eyed Peas,Boom Boom Pow,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance",1
243,Lady Gaga,Poker Face,Pop,Pop,1
244,Lady Gaga,Just Dance,Pop,"Pop, Music, Dance",1
245,Flo Rida,Right Round,Hip Hop,"Hip-Hop/Rap, Music",1
246,Beyonce,Single Ladies,R & B,R&B/Soul,1
247,Kanye West,Heartless,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul",1
248,The Fray,You Found Me,Rock,"Rock, Music, American Trad Rock, Adult Alternative",1
249,Keri Hilson,Knock You Down,R & B,R&B/Soul,1
250,Jamie Foxx,Blame It,R & B,"R&B/Soul, Music, Contemporary R&B",1
251,T.I.,Live Your Life,Hip Hop,Hip-Hop/Rap,1
252,Miley Cyrus,The Climb,Pop,"Pop, Music, Rock",1
253,Shinedown,Second Chance,Rock,"Rock, Music, Alternative, Hard Rock, Metal",1
254,Kid Cudi,Day 'n Nite,Hip Hop,"Hip-Hop/Rap, Music, Alternative Rap, Underground Rap",1
255,30H!3,Don't Trust Me,Pop,"Alternative, Music, Hip-Hop/Rap, Rap, Pop, Underground Rap, Dance, Electronic, Alternative Rap",1
256,Kevin Rudolf,Let It Rock,Pop,"Pop, Music, Rock, Hip-Hop/Rap, Hard Rock",1
257,Sean Kingston,Fire Burning,Hip Hop,"Hip-Hop/Rap, Music, Reggae, R&B/Soul, Contemporary R&B, Dirty South, Pop",1
258,Lady Gaga,LoveGame,Pop,"Pop, Music, Rock, R&B/Soul, Dance",1
259,Katy Perry,Waking Up in Vegas,Pop,"Pop, Music",1
260,Jay Z,Run This Town,Hip Hop,Hip-Hop/Rap,1
261,Jeremih,Birthday Sex,R & B,"R&B/Soul, Music, Rock, Contemporary R&B",1
262,P!nk,Sober,Pop,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Pop/Rock, Contemporary R&B, Teen Pop",1
263,Britney Spears,Womanizer,Pop,"Pop, Music, Dance",1
264,Mariah Carey,Obsessed,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B",1
265,Ne-Yo,Mad,R & B,"R&B/Soul, Music, Contemporary R&B",1
266,Cobra Starship,Good Girls Go Bad,Pop,"Alternative, Music, Soundtrack, Soundtrack, Punk, Rock, Adult Alternative, Dance",1
267,"Eminem, Dr.Dre, and 50 Cent",Crack a Bottle,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap",1
268,Keri Hilson,Turnin' Me On,R & B,"R&B/Soul, Music, Rock, Contemporary R&B",1
269,Pussycat Dolls,I Hate This Part,Pop,Pop,1
270,Nickelback,Gotta Be Somebody,Rock,"Rock, Music, Metal, Pop, Pop/Rock, Alternative, Hard Rock",1
271,P!nk,Please Don't Leave Me,Pop,Pop,1
272,Coldplay,Viva la Vida,Pop,"Alternative, Music, Rock",1
273,Flo Rida,Sugar,Hip Hop,"Hip-Hop/Rap, Music",1
274,Linkin Park,New Divide,Rock,Alternative,1
275,Daughtry,No Surprise,Rock,"Rock, Music",1
276,Shakira,She Wolf,Pop,"Pop, Music",1
277,Mario,Break Up,R & B,"R&B/Soul, Music",1
278,Young Money,Every Girl,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap, Dirty South, Rap",1
279,Colbie Caillat,Fallin' For You,Pop,"Pop, Music, Pop/Rock, Rock, Adult Alternative, Singer/Songwriter, Contemporary Singer/Songwriter",1
280,The Veronicas,Untouched,Pop,"Pop, Music, Rock, Adult Alternative, Pop/Rock, Teen Pop, Alternative, Punk",1
281,Boys Like Girls,Love Drunk,Pop,"Alternative, Music",1
282,Asher Roth,I Love College,Hip Hop,"Hip-Hop/Rap, Music, Alternative Rap",1
283,Britney Spears,If U Seek Amy,Pop,"Pop, Music",1
284,Jason Aldean,Big Green Tractor,Country,"Country, Music, Rock",1
285,Taylor Swift,White Horse,Country,Country,1
