id,Artist,name,genre,"secondary_genres",Tier
10206,Tim McGraw,Southern Voice,Country,"Country, Music, Urban Cowboy, Contemporary Country, Honky Tonk",1
10207,TLC,Creep,R & B,"R&B/Soul, Music, Contemporary R&B, Electronic, Rock, Hip-Hop/Rap, Hip-Hop, Dance",1
10208,TLC,Unpretty,R & B,"R&B/Soul, Music, Hip-Hop/Rap, Hip-Hop, Dance, Contemporary R&B, Electronic, Rock",1
10209,Toni Braxton,Breathe Again,Pop,"Pop, Music, Rock, Dance, R&B/Soul, Adult Contemporary, Contemporary R&B",1
10210,Train,Drops Of Jupiter,Pop,"Rock, Music, Jam Bands, Adult Alternative, American Trad Rock",1
10211,Train,"Hey, Soul Sister",Pop,"Pop, Music, Rock, American Trad Rock",1
10212,Usher,Nice & Slow,Dance,"R&B/Soul, Music, Contemporary R&B, Electronic, Dance, Hip-Hop/Rap, Hip-Hop",1
10213,Vanilla Ice,Ice Ice Baby,Hip Hop,"Hip-Hop/Rap, Music, Rock",1
10214,Warrant,Cherry Pie,Rock,"Rock, Music, Hair Metal, Hard Rock, Metal",1
10215,Whitney Houston,Greatest Love Of All,Pop,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Contemporary R&B, Adult Contemporary",1
10216,Willie Nelson,Always On My Mind,Country,"Country, Music, Outlaw Country, Honky Tonk, Contemporary Country, Traditional Country",1
10217,Willie Nelson,On The Road Again,Country,"Country, Music, Outlaw Country, Honky Tonk, Traditional Country",1
10218,The Sweet Escape,Gwen Stefani,Dance,"Pop, Music, Electronic, R&B/Soul, Pop/Rock, Dance, Rock, Adult Alternative",1
