id,Artist,name,genre,secondary_genres,tier
159,The Script,For the First Time,Pop,"Pop, Music, Rock",2
160,Blake Shelton,Honey Bee,Country,Country,2
161,Jason Aldean,Don't You Wanna Stay,Country,"Country, Music, Contemporary Country",2
162,Keri Hilson,Pretty Girl Rock,R & B,"R&B/Soul, Music, Contemporary R&B, Dance, Rock",2
163,Lady Gaga,You and I,Pop,"Pop, Music",2
164,Eli Young Band,Crazy Girl,Country,Country,2
165,Selena Gomez & the Scene,Who Says,Pop,"Pop, Music",2
166,Jake Owen,Barefoot Blue Jean Night,Country,"Country, Music, Karaoke",2
167,Zac Brown Band,Knee Deep,Country,Country,2
168,Luke Bryan,Country Girl,Country,"Country, Music, Contemporary Country",2
169,New Boyz,Backseat,Hip Hop,Hip-Hop/Rap,2
170,Drake,Headlines,Hip Hop,"Hip-Hop/Rap, Music",2
171,Jason Derulo,Don't Wanna Go Home,Pop,"Pop, Music, Hip-Hop/Rap, Rap, Rock, R&B/Soul, Contemporary R&B",2
172,Chris Brown,She Ain't You,R & B,R&B/Soul,2
173,Rodney Atkins,Take a Back Road,Country,"Country, Music, Honky Tonk, Contemporary Country",2
174,Mike Posner,Please Don't Go,Pop,"Pop, Music, Rock, Dance, Hip-Hop/Rap, Alternative Rap, Rap",2
175,Miguel,Sure Thing,R & B,"R&B/Soul, Music, Neo-Soul, Soul, Dance, Rock, Contemporary R&B",2
176,Jessie J,Price Tag,Pop,"Pop, Music",2
177,Blake Shelton,God Gave Me You,Country,Country,2
178,Lil Wayne,She Will,Hip Hop,Hip-Hop/Rap,2
179,Kenny Chesney,You and Tequila,Country,Country,2
180,Zac Brown Band,Colder Weather,Country,"Country, Music",2
181,Big Sean,My Last,Hip Hop,"Hip-Hop/Rap, Musik, Rap",2
182,Ke$ha,Tik Tok,Pop,"Pop, Music, Electronic, Hip-Hop/Rap, Rock, Dance, Rap, R&B/Soul",2
183,Lady Antebellum,Need You Now,Country,"Country, Music, Contemporary Country, Honky Tonk, Rock",2
184,B.o.B,Airplanes,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock",2
185,Lady Gaga,Bad Romance,Pop,Pop,2
186,Taio Cruz,Break Your Heart,Pop,"Pop, Music, R&B/Soul, Rock, Dance, Contemporary R&B",2
187,B.o.B,Nothin' on You,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock",2
188,Enrique Iglesias,I Like It,Pop,"Pop Latino, Music, Latino, Pop",2
189,Young Money,BedRock,Hip Hop,"Hip-Hop/Rap, Music",2
190,Rihanna,Rude Boy,Pop,"Pop, Music, R&B/Soul, Hip-Hop/Rap, Rap, Dance, Contemporary R&B, Rock",2
191,Lady Gaga,Telephone,Pop,Pop,2
192,The Black Eyed Peas,Imma Be,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance",2
193,Jay Z,Empire State of Mind,Hip Hop,Hip-Hop/Rap,2
194,Eminem,Not Afraid,Hip Hop,"Hip-Hop/Rap, Music, Rock, Hardcore Rap, Rap",2
195,The Black Eyed Peas,I Gotta Feeling,Pop,Pop,2
196,Trey Songz,Say Aah,R & B,"R&B/Soul, Music, Contemporary R&B",2
197,Drake,Find Your Love,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rap, Rock, Hardcore Rap",2
198,Lady Gaga,Alejandro,Dance,"Dance, Music, Rock, Pop, R&B/Soul",2
199,Jason Derulo,Ridin' Solo,Pop,"Pop, Music, Hip-Hop/Rap, Rap, R&B/Soul, Rock, Contemporary R&B",2
200,Ludacris,How Low,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Hardcore Rap",2
201,Timbaland,Carry Out,Pop,"Pop, Music, Hip-Hop/Rap, Rap, Dance, Rock, Adult Alternative, R&B/Soul, Contemporary R&B",2
202,Michael Buble,Haven't Met You Yet,Pop,Pop,2
203,Adam Lambert,Whataya Want From Me,Pop,"Pop, Music",2
204,Taylor Swift,Mine,Country,"Country, Music, Honky Tonk, Rock",2
205,Kris Allen,Live Like We're Dying,Pop,"Pop, Music",2
206,Rihanna,Hard,Pop,"Pop, Music, R&B/Soul, Hip-Hop/Rap, Rap, Dance, Contemporary R&B, Rock",2
207,Jay Z and Mr Hudson,Young Forever,Hip Hop,Hip-Hop/Rap,2
208,Ke$ha,Blah Blah Blah,Pop,Pop,2
209,Jay Sean,Do You Remember,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Rock, Electronic, Dance",2
210,OneRepublic,All the Right Moves,Pop,"Pop, Music",2
211,Orianthi,According to You,Pop,"Pop, Music, Rock, Pop/Rock",2
212,Ludacris,My Chick Bad,Hip Hop,Hip-Hop/Rap,2
213,The Black Eyed Peas,Meet Me Halfway,Pop,Pop,2
214,Ke$ha,Take It Off,Pop,Pop,2
215,Drake,Over,Hip Hop,"Hip-Hop/Rap, Music",2
216,Maroon 5,Misery,Pop,"Pop, Music, Rock, Adult Alternative, Pop/Rock",2
217,B.o.B,Magic,Hip Hop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock",2
218,Lady Gaga,Paparazzi,Pop,"Pop, Music, Rock, Dance, R&B/Soul",2
219,New Boyz,Tie Me Down,Hip Hop,Hip-Hop/Rap,2
220,Nicki Minaj,Your Love,R & B,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, R&B/Soul, Contemporary R&B",2
221,Miley Cyrus,Party in the U.S.A,Pop,"Pop, Music, Teen Pop",2
222,Chris Brown,Deuces,R & B,"R&B/Soul, Music",2
223,Britney Spears,3,Pop,"Pop, Music",2
224,The Black Eyed Peas,Rock That Body,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance",2
225,OneRepublic,Secrets,Pop,"Pop, Music",2
226,Selena Gomez & the Scene,Naturally,Pop,"Pop, Music, Rock, Teen Pop",2
227,Kevin Rudolf,I Made It,Pop,"Pop, Music, Hip-Hop/Rap, Rock",2
228,Sugarland,Stuck Like Glue,Country,Country,2
229,Usher,Hey Daddy (Daddy's Home),R & B,"R&B/Soul, Music, Dance, Contemporary R&B, Rock",2
230,Usher,There Goes My Baby,R & B,"R&B/Soul, Music, Contemporary R&B",2
231,Taylor Swift,Today Was a Fairytale,Country,"Country, Music, Honky Tonk",2
232,Timbaland,Say Something,Pop,Pop,2
233,Carrie Underwood,Undo It,Country,"Country, Music, Pop, Adult Contemporary, Contemporary Country, Rock",2
234,Sean Kingston,Eenie Meenie,Pop,"Pop, Music, Rock",2
235,Lil Wayne,Right Above It,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Hardcore Rap, Rap",2
236,Paramore,The Only Exception,Pop,"Alternative, Music",2
237,Lady Antebellum,American Honey,Country,Country,2
238,Sara Bareilles,King of Anything,Pop,"Pop, Music, Singer/Songwriter, Contemporary Singer/Songwriter, Alternative Folk, Rock, Adult Alternative",2
239,Daughtry,Life After You,Rock,Rock,2
240,Uncle Kracker,Smile,Pop,"Pop, Music, Pop/Rock, Rock, American Trad Rock, Metal",2
241,Jerrod Niemann,"Lover, Lover",Country,"Country, Music, Rock, Contemporary Country",2
242,The Black Eyed Peas,Boom Boom Pow,Pop,"Pop, Music, Electronic, Rock, Hip-Hop/Rap, Rap, Dance",2
243,Lady Gaga,Poker Face,Pop,Pop,2
244,Lady Gaga,Just Dance,Pop,"Pop, Music, Dance",2
245,Flo Rida,Right Round,Hip Hop,"Hip-Hop/Rap, Music",2
246,Beyonce,Single Ladies,R & B,R&B/Soul,2
247,Kanye West,Heartless,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul",2
248,The Fray,You Found Me,Rock,"Rock, Music, American Trad Rock, Adult Alternative",2
249,Keri Hilson,Knock You Down,R & B,R&B/Soul,2
250,Jamie Foxx,Blame It,R & B,"R&B/Soul, Music, Contemporary R&B",2
251,T.I.,Live Your Life,Hip Hop,Hip-Hop/Rap,2
252,Miley Cyrus,The Climb,Pop,"Pop, Music, Rock",2
253,Shinedown,Second Chance,Rock,"Rock, Music, Alternative, Hard Rock, Metal",2
254,Kid Cudi,Day 'n Nite,Hip Hop,"Hip-Hop/Rap, Music, Alternative Rap, Underground Rap",2
255,30H!3,Don't Trust Me,Pop,"Alternative, Music, Hip-Hop/Rap, Rap, Pop, Underground Rap, Dance, Electronic, Alternative Rap",2
256,Kevin Rudolf,Let It Rock,Pop,"Pop, Music, Rock, Hip-Hop/Rap, Hard Rock",2
257,Sean Kingston,Fire Burning,Hip Hop,"Hip-Hop/Rap, Music, Reggae, R&B/Soul, Contemporary R&B, Dirty South, Pop",2
258,Lady Gaga,LoveGame,Pop,"Pop, Music, Rock, R&B/Soul, Dance",2
259,Katy Perry,Waking Up in Vegas,Pop,"Pop, Music",2
260,Jay Z,Run This Town,Hip Hop,Hip-Hop/Rap,2
261,Jeremih,Birthday Sex,R & B,"R&B/Soul, Music, Rock, Contemporary R&B",2
262,P!nk,Sober,Pop,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Pop/Rock, Contemporary R&B, Teen Pop",2
263,Britney Spears,Womanizer,Pop,"Pop, Music, Dance",2
264,Mariah Carey,Obsessed,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B",2
265,Ne-Yo,Mad,R & B,"R&B/Soul, Music, Contemporary R&B",2
266,Cobra Starship,Good Girls Go Bad,Pop,"Alternative, Music, Soundtrack, Soundtrack, Punk, Rock, Adult Alternative, Dance",2
267,"Eminem, Dr.Dre, and 50 Cent",Crack a Bottle,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap",2
268,Keri Hilson,Turnin' Me On,R & B,"R&B/Soul, Music, Rock, Contemporary R&B",2
269,Pussycat Dolls,I Hate This Part,Pop,Pop,2
270,Nickelback,Gotta Be Somebody,Rock,"Rock, Music, Metal, Pop, Pop/Rock, Alternative, Hard Rock",2
271,P!nk,Please Don't Leave Me,Pop,Pop,2
272,Coldplay,Viva la Vida,Pop,"Alternative, Music, Rock",2
273,Flo Rida,Sugar,Hip Hop,"Hip-Hop/Rap, Music",2
274,Linkin Park,New Divide,Rock,Alternative,2
275,Daughtry,No Surprise,Rock,"Rock, Music",2
276,Shakira,She Wolf,Pop,"Pop, Music",2
277,Mario,Break Up,R & B,"R&B/Soul, Music",2
278,Young Money,Every Girl,Hip Hop,"Hip-Hop/Rap, Music, Hardcore Rap, Dirty South, Rap",2
279,Colbie Caillat,Fallin' For You,Pop,"Pop, Music, Pop/Rock, Rock, Adult Alternative, Singer/Songwriter, Contemporary Singer/Songwriter",2
280,The Veronicas,Untouched,Pop,"Pop, Music, Rock, Adult Alternative, Pop/Rock, Teen Pop, Alternative, Punk",2
281,Boys Like Girls,Love Drunk,Pop,"Alternative, Music",2
282,Asher Roth,I Love College,Hip Hop,"Hip-Hop/Rap, Music, Alternative Rap",2
283,Britney Spears,If U Seek Amy,Pop,"Pop, Music",2
284,Jason Aldean,Big Green Tractor,Country,"Country, Music, Rock",2
285,Taylor Swift,White Horse,Country,Country,2
286,Green Day,21 Guns,Rock,Alternative,2
287,Soulja Boy Tell 'Em,Turn My Swag On,Hip Hop,"Hip-Hop/Rap, Music, Rock, Hardcore Rap",2
288,The-Dream,Rockin' That Thang,R & B,"R&B/Soul, Music, Rock, Hip-Hop/Rap, Rap, Contemporary R&B",2
289,Zac Brown Band,Chicken Fried,Country,"Country, Music",2
290,Beyonce,Diva,Pop,Pop,2
291,Brad Paisley,Then,Country,"Country, Music, Contemporary Country",2
292,Rob Thomas,Her Diamonds,Pop,Pop,2
293,Jesse McCartney,How Do You Sleep?,Pop,"Pop, Music, Rock, Adult Alternative",2
294,Justin Bieber,One Time,Pop,"Pop, Music, Dance, Teen Pop, R&B/Soul, Contemporary R&B, Rock",2
295,Lady Antebellum,I Run to You,Country,Country,2
296,John Legend,Green Light,R & B,"R&B/Soul, Music",2
297,Billy Currington,People Are Crazy,Country,Country,2
298,Zac Brown Band,Whatever It Is,Country,"Country, Music",2
299,Kristinia DeBarge,Goodbye,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Dance",2
300,Michael Franti & Spearhead,Say Hey,Pop,"Alternative, Music, Rock, Reggae, Dancehall, Hip-Hop/Rap, Alternative Rap",2
301,Jim Jones feat. Ron Browz & Juelz Santana,Pop Champagne,Hip Hop,Hip-Hop/Rap,2
302,Maxwell,Pretty Wings,R & B,"R&B/Soul, Music",2
303,The Fray,Never Say Never,Rock,"Rock, Music, American Trad Rock, Adult Alternative",2
304,Flo Rida feat. T-Pain,Low,Hip Hop,Hip-Hop/Rap,2
305,Leona Lewis,Bleeding Love,Pop,"Pop, Music, Adult Contemporary, Rock, Adult Alternative, R&B/Soul, Contemporary R&B, Pop/Rock",2
306,Lil Wayne feat. Static Major,Lollipop,Hip Hop,Hip-Hop/Rap,2
307,Jordin Sparks feat. Chris Brown,No Air,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Teen Pop, Pop/Rock",2
308,Usher feat. Young Jeezy,Love In This Club,R & B,R&B/Soul,2
309,Chris Brown,With You,R & B,"R&B/Soul, Music, Contemporary R&B",2
310,Ray J feat.  Yung Berg,Sexy Can I,Hip Hop,Hip-Hop/Rap,2
311,Rihanna,Take a Bow,Pop,Pop,2
312,Rihanna,Don't Stop the Music,Pop,"Pop, Music, R&B/Soul, Dance",2
313,Chris Brown feat. T-Pain,Kiss Kiss,R & B,"R&B/Soul, Music, Hip-Hop/Rap",2
314,Mariah Carey,Touch My Body,Pop,"Pop, Music, Electronic, Rock, Adult Contemporary, R&B/Soul, Contemporary R&B, Dance",2
315,Fergie,Clumsy,Pop,Pop,2
316,Jesse McCartney,Leavin,Pop,Pop,2
317,OneRepublic,Stop and Stare,Pop,"Pop, Music, Rock, Adult Alternative",2
318,Sean Kingston,Take You There,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Reggae, Pop",2
319,T.I. feat. Rihanna,Live Your Life,Hip Hop,"Hip-Hop/Rap, Music, Dirty South, Gangsta Rap",2
320,Lil Wayne feat. T-Pain,Got Money,Hip Hop,Hip-Hop/Rap,2
